Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:36:42
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0060,001,40CP0086001,188950,430970,997.2,,1050,,-902.8,-1102.8,1933/01/01,1989/10/13
B40C0060,001,40CP0086001,188950,430970,997.2,,1051,,-902.8,-1102.8,1989/10/13,1998/05/01
B40C0060,001,40CP0086001,188950,430970,997.2,,1053,,-902.8,-1102.8,1998/05/01,2004/06/15
B40C0060,001,40CP0086001,188950,430970,997.2,,1053,600,-902.8,-1102.8,2004/06/15,2007/10/08
B40C0060,001,40CP0086001,188950,430970,997.2,,1053,600,-902.8,-1102.8,2007/10/08,2007/10/09
B40C0060,001,40CP0086001,188950,430970,997.2,,1053,1010,-902.8,-1102.8,2007/10/09,2009/02/27
B40C0060,001,40CP0086001,188950,430970,997.2,,1053,1018,-902.8,-1102.8,2009/02/27,2016/07/26
B40C0060,001,40CP0086001,188950,430970,997.2,,1053,700,-902.8,-1102.8,2016/07/26,2016/10/14
B40C0060,001,40CP0086001,188950,430970,997.2,,1053,700,-902.8,-1102.8,2016/10/14,2017/12/19
B40C0060,001,40CP0086001,188950,430970,997.2,,1050.9,700,-902.8,-1102.8,2017/12/19,2018/02/07
B40C0060,001,40CP0086001,188950,430970,997.2,,1050.9,700,-902.8,-1102.8,2018/02/07,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40C0060,001,1972/04/28 12:00:00,   740,reliable   
B40C0060,001,1972/07/28 12:00:00,   776,reliable   
B40C0060,001,1972/08/28 12:00:00,   759,reliable   
B40C0060,001,1972/10/13 12:00:00,   674,reliable   
B40C0060,001,1972/12/14 12:00:00,   849,reliable   
B40C0060,001,1973/04/27 12:00:00,   826,reliable   
B40C0060,001,1973/08/28 12:00:00,   729,reliable   
B40C0060,001,1973/10/15 12:00:00,   686,reliable   
B40C0060,001,1973/12/14 12:00:00,   852,reliable   
B40C0060,001,1978/01/12 12:00:00,   855,reliable   
B40C0060,001,1978/01/27 12:00:00,   787,reliable   
B40C0060,001,1978/02/15 12:00:00,   849,reliable   
B40C0060,001,1978/02/28 12:00:00,   890,reliable   
B40C0060,001,1978/03/14 12:00:00,   916,reliable   
B40C0060,001,1978/03/28 12:00:00,  1010,reliable   
B40C0060,001,1978/04/14 12:00:00,   922,reliable   
B40C0060,001,1978/04/28 12:00:00,   791,reliable   
B40C0060,001,1978/05/16 12:00:00,   878,reliable   
B40C0060,001,1978/05/29 12:00:00,   981,reliable   
B40C0060,001,1978/06/14 12:00:00,   901,reliable   
B40C0060,001,1978/06/28 12:00:00,   879,reliable   
B40C0060,001,1978/07/14 12:00:00,   928,reliable   
B40C0060,001,1978/07/28 12:00:00,   872,reliable   
B40C0060,001,1978/08/14 12:00:00,   867,reliable   
B40C0060,001,1978/08/28 12:00:00,   814,reliable   
B40C0060,001,1978/09/14 12:00:00,   770,reliable   
B40C0060,001,1978/09/28 12:00:00,   748,reliable   
B40C0060,001,1978/10/13 12:00:00,   762,reliable   
B40C0060,001,1978/10/27 12:00:00,   680,reliable   
