Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:37:03
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0414,002,40CP0414002,184710,435500,847,,832,,-753,-853,1977/03/01,1999/04/01
B40C0414,002,40CP0414002,184710,435500,847,,831,,-753,-853,1999/04/01,2014/02/04
B40C0414,002,40CP0414002,184710,435500,847,,833,405,-753,-853,2014/02/04,2014/07/18
B40C0414,002,40CP0414002,184710,435500,847,,833,405,-753,-853,2014/07/18,2020/05/26
B40C0414,002,40CP0414002,184710,435500,847,,833,,-753,-853,2020/05/26,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40C0414,002,1977/05/27 12:00:00,  724,reliable   
B40C0414,002,1977/06/14 12:00:00,  727,reliable   
B40C0414,002,1977/06/28 12:00:00,  720,reliable   
B40C0414,002,1977/07/14 12:00:00,  708,reliable   
B40C0414,002,1977/07/28 12:00:00,  717,reliable   
B40C0414,002,1977/08/15 12:00:00,  725,reliable   
B40C0414,002,1977/08/29 12:00:00,  738,reliable   
B40C0414,002,1977/09/28 12:00:00,  705,reliable   
B40C0414,002,1977/10/14 12:00:00,  703,reliable   
B40C0414,002,1977/11/14 12:00:00,  726,reliable   
B40C0414,002,1977/11/28 12:00:00,  735,reliable   
B40C0414,002,1977/12/14 12:00:00,  729,reliable   
B40C0414,002,1977/12/28 12:00:00,  724,reliable   
B40C0414,002,1978/01/12 12:00:00,  749,reliable   
B40C0414,002,1978/01/27 12:00:00,  729,reliable   
B40C0414,002,1978/02/14 12:00:00,  725,reliable   
B40C0414,002,1978/02/28 12:00:00,  723,reliable   
B40C0414,002,1978/03/14 12:00:00,  723,reliable   
B40C0414,002,1978/03/28 12:00:00,  737,reliable   
