Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:36:33
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0611,001,40CL0087001,180220,435270,777,,770,,747,647,1977/05/27,1988/09/02
B40C0611,001,40CL0087001,180220,435270,777,,860,,747,647,1988/09/02,1998/05/01
B40C0611,001,40CL0087001,180220,435270,777,,858,,747,647,1998/05/01,2004/06/15
B40C0611,001,40CL0087001,180220,435270,777,,858,200,747,647,2004/06/15,2010/05/18
B40C0611,001,40CL0087001,180220,435270,777,,858,200,747,647,2010/05/18,2012/01/25
B40C0611,001,40CL0087001,180220,435270,777,,858,203,747,647,2012/01/25,2019/01/29
B40C0611,001,40CL0087001,180220,435270,777,,858,200,747,647,2019/01/29,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40C0611,001,1977/05/27 12:00:00,  695,reliable   
B40C0611,001,1977/06/14 12:00:00,  686,reliable   
B40C0611,001,1977/06/28 12:00:00,  680,reliable   
B40C0611,001,1977/07/14 12:00:00,  660,reliable   
B40C0611,001,1977/07/28 12:00:00,  672,reliable   
B40C0611,001,1977/08/15 12:00:00,  678,reliable   
B40C0611,001,1977/08/29 12:00:00,  716,reliable   
B40C0611,001,1977/09/28 12:00:00,  662,reliable   
B40C0611,001,1977/10/14 12:00:00,  670,reliable   
B40C0611,001,1977/11/14 12:00:00,  726,reliable   
B40C0611,001,1977/11/28 12:00:00,  724,reliable   
B40C0611,001,1977/12/14 12:00:00,  718,reliable   
B40C0611,001,1977/12/28 12:00:00,  711,reliable   
B40C0611,001,1978/01/12 12:00:00,  740,reliable   
B40C0611,001,1978/01/27 12:00:00,  722,reliable   
B40C0611,001,1978/02/14 12:00:00,  713,reliable   
B40C0611,001,1978/02/28 12:00:00,  704,reliable   
B40C0611,001,1978/03/14 12:00:00,  714,reliable   
B40C0611,001,1978/03/28 12:00:00,  726,reliable   
B40C0611,001,1978/04/14 12:00:00,  706,reliable   
B40C0611,001,1978/04/28 12:00:00,  695,reliable   
B40C0611,001,1978/05/16 12:00:00,  708,reliable   
B40C0611,001,1978/05/29 12:00:00,  691,reliable   
B40C0611,001,1978/06/14 12:00:00,  691,reliable   
B40C0611,001,1978/06/28 12:00:00,  699,reliable   
