Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:36:24
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C3533,001,40C-3533001,188790.98,433958.17,968,,1044,,844,601,2013/03/22,2013/05/13
B40C3533,001,40C-3533001,188790.98,433958.17,968,,1044,356,844,601,2013/05/13,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40C3533,001,2013/05/13 08:40:00,  804,reliable   
B40C3533,001,2013/05/13 12:00:00,806.3,reliable   
B40C3533,001,2013/05/13 15:00:00,806.5,reliable   
B40C3533,001,2013/05/13 18:00:00,806.7,reliable   
B40C3533,001,2013/05/13 21:00:00,806.3,reliable   
B40C3533,001,2013/05/14 00:00:00,807.1,reliable   
B40C3533,001,2013/05/14 03:00:00,  807,reliable   
B40C3533,001,2013/05/14 06:00:00,806.4,reliable   
B40C3533,001,2013/05/14 09:00:00,806.6,reliable   
B40C3533,001,2013/05/14 12:00:00,  807,reliable   
B40C3533,001,2013/05/14 15:00:00,806.9,reliable   
B40C3533,001,2013/05/14 18:00:00,  807,reliable   
B40C3533,001,2013/05/14 21:00:00,807.1,reliable   
B40C3533,001,2013/05/15 00:00:00,807.2,reliable   
B40C3533,001,2013/05/15 03:00:00,807.6,reliable   
B40C3533,001,2013/05/15 06:00:00,807.3,reliable   
B40C3533,001,2013/05/15 09:00:00,807.4,reliable   
B40C3533,001,2013/05/15 12:00:00,807.2,reliable   
B40C3533,001,2013/05/15 15:00:00,807.2,reliable   
B40C3533,001,2013/05/15 18:00:00,806.9,reliable   
B40C3533,001,2013/05/15 21:00:00,806.3,reliable   
B40C3533,001,2013/05/16 00:00:00,806.1,reliable   
B40C3533,001,2013/05/16 03:00:00,806.4,reliable   
B40C3533,001,2013/05/16 06:00:00,806.2,reliable   
B40C3533,001,2013/05/16 09:00:00,806.7,reliable   
B40C3533,001,2013/05/16 12:00:00,807.2,reliable   
B40C3533,001,2013/05/16 15:00:00,807.3,reliable   
B40C3533,001,2013/05/16 18:00:00,808.5,reliable   
B40C3533,001,2013/05/16 21:00:00,808.2,reliable   
B40C3533,001,2013/05/17 00:00:00,808.7,reliable   
B40C3533,001,2013/05/17 03:00:00,808.9,reliable   
B40C3533,001,2013/05/17 06:00:00,808.5,reliable   
B40C3533,001,2013/05/17 09:00:00,  809,reliable   
B40C3533,001,2013/05/17 12:00:00,809.1,reliable   
B40C3533,001,2013/05/17 15:00:00,  809,reliable   
B40C3533,001,2013/05/17 18:00:00,809.6,reliable   
B40C3533,001,2013/05/17 21:00:00,809.2,reliable   
B40C3533,001,2013/05/18 00:00:00,809.6,reliable   
B40C3533,001,2013/05/18 03:00:00,809.6,reliable   
B40C3533,001,2013/05/18 06:00:00,809.3,reliable   
B40C3533,001,2013/05/18 09:00:00,809.5,reliable   
B40C3533,001,2013/05/18 12:00:00,809.3,reliable   
B40C3533,001,2013/05/18 15:00:00,809.2,reliable   
B40C3533,001,2013/05/18 18:00:00,809.1,reliable   
B40C3533,001,2013/05/18 21:00:00,809.2,reliable   
B40C3533,001,2013/05/19 00:00:00,809.5,reliable   
B40C3533,001,2013/05/19 03:00:00,  809,reliable   
B40C3533,001,2013/05/19 06:00:00,  809,reliable   
B40C3533,001,2013/05/19 09:00:00,809.2,reliable   
B40C3533,001,2013/05/19 12:00:00,809.2,reliable   
B40C3533,001,2013/05/19 15:00:00,  809,reliable   
B40C3533,001,2013/05/19 18:00:00,809.2,reliable   
B40C3533,001,2013/05/19 21:00:00,809.2,reliable   
B40C3533,001,2013/05/20 00:00:00,809.2,reliable   
B40C3533,001,2013/05/20 03:00:00,809.3,reliable   
