Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:37:41
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D2290,001,40D-2290001,193056.24,432127.83,1025,,1087,180,1077,853,2013/05/13,2018/01/11
B40D2290,001,40D-2290001,193056.24,432127.83,1025,,1087,200,1077,853,2018/01/11,2019/01/31
B40D2290,001,40D-2290001,193056.24,432127.83,1025,,1087,180,1077,853,2019/01/31,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40D2290,001,2013/05/13 10:25:00,   907,reliable   
B40D2290,001,2013/05/27 09:00:00, 930.8,reliable   
B40D2290,001,2013/05/27 12:00:00, 930.7,reliable   
B40D2290,001,2013/05/27 15:00:00, 931.3,reliable   
B40D2290,001,2013/05/27 18:00:00, 931.2,reliable   
B40D2290,001,2013/05/27 21:00:00, 931.4,reliable   
B40D2290,001,2013/05/28 00:00:00, 931.6,reliable   
B40D2290,001,2013/05/28 03:00:00, 931.9,reliable   
B40D2290,001,2013/05/28 06:00:00, 932.2,reliable   
B40D2290,001,2013/05/28 09:00:00, 932.6,reliable   
B40D2290,001,2013/05/28 12:00:00,   933,reliable   
B40D2290,001,2013/05/28 15:00:00, 933.3,reliable   
B40D2290,001,2013/05/28 18:00:00, 933.2,reliable   
B40D2290,001,2013/05/28 21:00:00, 933.8,reliable   
B40D2290,001,2013/05/29 00:00:00, 933.9,reliable   
B40D2290,001,2013/05/29 03:00:00,   934,reliable   
B40D2290,001,2013/05/29 06:00:00, 934.6,reliable   
B40D2290,001,2013/05/29 09:00:00, 935.8,reliable   
B40D2290,001,2013/05/29 12:00:00, 934.7,reliable   
B40D2290,001,2013/05/29 15:00:00, 934.8,reliable   
B40D2290,001,2013/05/29 18:00:00, 935.2,reliable   
B40D2290,001,2013/05/29 21:00:00, 934.8,reliable   
B40D2290,001,2013/05/30 00:00:00, 934.9,reliable   
B40D2290,001,2013/05/30 03:00:00, 934.7,reliable   
B40D2290,001,2013/05/30 06:00:00, 934.8,reliable   
B40D2290,001,2013/05/30 09:00:00, 934.2,reliable   
B40D2290,001,2013/05/30 12:00:00, 933.9,reliable   
B40D2290,001,2013/05/30 15:00:00, 934.1,reliable   
B40D2290,001,2013/05/30 18:00:00, 933.9,reliable   
B40D2290,001,2013/05/30 21:00:00,   934,reliable   
B40D2290,001,2013/05/31 00:00:00, 934.6,reliable   
B40D2290,001,2013/05/31 03:00:00, 934.7,reliable   
B40D2290,001,2013/05/31 06:00:00, 934.6,reliable   
B40D2290,001,2013/05/31 09:00:00, 934.3,reliable   
B40D2290,001,2013/05/31 12:00:00, 934.9,reliable   
B40D2290,001,2013/05/31 15:00:00, 934.1,reliable   
B40D2290,001,2013/05/31 18:00:00, 934.4,reliable   
B40D2290,001,2013/05/31 21:00:00, 934.1,reliable   
B40D2290,001,2013/06/01 00:00:00, 934.6,reliable   
B40D2290,001,2013/06/01 03:00:00, 934.7,reliable   
B40D2290,001,2013/06/01 06:00:00, 934.9,reliable   
B40D2290,001,2013/06/01 09:00:00, 934.6,reliable   
B40D2290,001,2013/06/01 12:00:00, 934.6,reliable   
B40D2290,001,2013/06/01 15:00:00,   935,reliable   
B40D2290,001,2013/06/01 18:00:00, 934.6,reliable   
B40D2290,001,2013/06/01 21:00:00, 934.6,reliable   
B40D2290,001,2013/06/02 00:00:00, 934.9,reliable   
B40D2290,001,2013/06/02 03:00:00,   935,reliable   
B40D2290,001,2013/06/02 06:00:00, 934.6,reliable   
B40D2290,001,2013/06/02 09:00:00, 935.2,reliable   
B40D2290,001,2013/06/02 12:00:00, 935.1,reliable   
B40D2290,001,2013/06/02 15:00:00, 934.7,reliable   
B40D2290,001,2013/06/02 18:00:00, 934.6,reliable   
B40D2290,001,2013/06/02 21:00:00, 934.5,reliable   
B40D2290,001,2013/06/03 00:00:00,   935,reliable   
B40D2290,001,2013/06/03 03:00:00,   935,reliable   
B40D2290,001,2013/06/03 06:00:00, 935.1,reliable   
B40D2290,001,2013/06/03 09:00:00, 935.2,reliable   
B40D2290,001,2013/06/03 12:00:00, 935.3,reliable   
B40D2290,001,2013/06/03 15:00:00, 935.5,reliable   
B40D2290,001,2013/06/03 18:00:00, 936.1,reliable   
B40D2290,001,2013/06/03 21:00:00, 936.1,reliable   
B40D2290,001,2013/06/04 00:00:00, 936.2,reliable   
B40D2290,001,2013/06/04 03:00:00,   937,reliable   
B40D2290,001,2013/06/04 06:00:00, 937.5,reliable   
B40D2290,001,2013/06/04 09:00:00, 938.1,reliable   
B40D2290,001,2013/06/04 12:00:00, 938.6,reliable   
