Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:37:51
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D2294,002,40D-2294002,197069.4705,433235.8065,1144,,1243,,643,345,2013/03/26,2013/05/14
B40D2294,002,40D-2294002,197069.4705,433235.8065,1144,,1243,355,643,345,2013/05/14,2013/10/01
B40D2294,002,40D-2294002,197069.4705,433235.8065,1144,,1243,405,643,345,2013/10/01,2017/06/19
B40D2294,002,40D-2294002,197069.4705,433235.8065,1144,,1243,704,643,345,2017/06/19,2019/07/08
B40D2294,002,40D-2294002,197069.4705,433235.8065,1144,,1243,706,643,345,2019/07/08,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40D2294,002,2013/05/13 13:25:00,   963,reliable   
B40D2294,002,2013/05/14 12:00:00, 968.4,reliable   
B40D2294,002,2013/05/14 15:00:00, 968.2,reliable   
B40D2294,002,2013/05/14 18:00:00, 968.7,reliable   
B40D2294,002,2013/05/14 21:00:00, 969.4,reliable   
B40D2294,002,2013/05/15 00:00:00, 969.7,reliable   
B40D2294,002,2013/05/15 03:00:00, 970.4,reliable   
B40D2294,002,2013/05/15 06:00:00, 970.4,reliable   
B40D2294,002,2013/05/15 09:00:00, 969.9,reliable   
B40D2294,002,2013/05/15 12:00:00, 969.4,reliable   
B40D2294,002,2013/05/15 15:00:00, 969.1,reliable   
B40D2294,002,2013/05/15 18:00:00,   969,reliable   
B40D2294,002,2013/05/15 21:00:00,   968,reliable   
B40D2294,002,2013/05/16 00:00:00, 967.3,reliable   
B40D2294,002,2013/05/16 03:00:00, 967.7,reliable   
B40D2294,002,2013/05/16 06:00:00, 967.9,reliable   
B40D2294,002,2013/05/16 09:00:00,   968,reliable   
B40D2294,002,2013/05/16 12:00:00, 968.7,reliable   
B40D2294,002,2013/05/16 15:00:00, 969.3,reliable   
B40D2294,002,2013/05/16 18:00:00, 972.1,reliable   
