Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:38:01
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D2297,001,40D-2297001,196861.15,434020.41,1137,,1210,,1037,937,2013/03/26,2013/05/14
B40D2297,001,40D-2297001,196861.15,434020.41,1137,,1210,305,1037,937,2013/05/14,2021/06/18
B40D2297,001,40D-2297001,196861.15,434020.41,1137,,1210,270,1037,937,2021/06/18,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40D2297,001,2013/05/13 13:03:00,   945,reliable   
B40D2297,001,2014/12/19 15:00:00, 961.1,reliable   
B40D2297,001,2014/12/19 18:00:00, 963.3,reliable   
B40D2297,001,2014/12/19 21:00:00, 961.9,reliable   
B40D2297,001,2014/12/20 00:00:00, 960.5,reliable   
B40D2297,001,2014/12/20 03:00:00, 958.4,reliable   
B40D2297,001,2014/12/20 06:00:00, 956.7,reliable   
B40D2297,001,2014/12/20 09:00:00, 955.2,reliable   
B40D2297,001,2014/12/20 12:00:00, 953.5,reliable   
B40D2297,001,2014/12/20 15:00:00, 952.2,reliable   
B40D2297,001,2014/12/27 18:00:00, 952.8,reliable   
B40D2297,001,2014/12/27 21:00:00, 954.1,reliable   
B40D2297,001,2014/12/28 00:00:00,   954,reliable   
B40D2297,001,2014/12/28 03:00:00, 953.8,reliable   
B40D2297,001,2014/12/28 06:00:00, 952.8,reliable   
B40D2297,001,2015/01/08 18:00:00, 972.2,reliable   
B40D2297,001,2015/01/08 21:00:00, 978.7,reliable   
B40D2297,001,2015/01/09 00:00:00, 979.4,reliable   
B40D2297,001,2015/01/09 03:00:00, 979.6,reliable   
B40D2297,001,2015/01/09 06:00:00, 981.6,reliable   
B40D2297,001,2015/01/09 09:00:00, 980.2,reliable   
B40D2297,001,2015/01/09 12:00:00, 977.9,reliable   
B40D2297,001,2015/01/09 15:00:00, 975.8,reliable   
B40D2297,001,2015/01/09 18:00:00, 973.7,reliable   
B40D2297,001,2015/01/09 21:00:00,   974,reliable   
B40D2297,001,2015/01/10 00:00:00, 977.1,reliable   
B40D2297,001,2015/01/10 03:00:00, 977.1,reliable   
B40D2297,001,2015/01/10 06:00:00, 977.8,reliable   
B40D2297,001,2015/01/10 09:00:00, 978.2,reliable   
B40D2297,001,2015/01/10 12:00:00, 977.7,reliable   
B40D2297,001,2015/01/10 15:00:00, 976.9,reliable   
B40D2297,001,2015/01/10 18:00:00, 974.8,reliable   
B40D2297,001,2015/01/10 21:00:00, 974.2,reliable   
B40D2297,001,2015/01/11 00:00:00, 974.1,reliable   
B40D2297,001,2015/01/11 03:00:00, 973.8,reliable   
B40D2297,001,2015/01/11 06:00:00, 973.6,reliable   
B40D2297,001,2015/01/11 09:00:00, 973.1,reliable   
B40D2297,001,2015/01/11 12:00:00, 971.9,reliable   
B40D2297,001,2015/01/11 15:00:00, 970.8,reliable   
B40D2297,001,2015/01/11 18:00:00, 970.2,reliable   
B40D2297,001,2015/01/11 21:00:00, 969.8,reliable   
B40D2297,001,2015/01/12 00:00:00, 969.7,reliable   
B40D2297,001,2015/01/12 03:00:00, 969.7,reliable   
B40D2297,001,2015/01/12 06:00:00, 969.2,reliable   
B40D2297,001,2015/01/12 09:00:00, 969.8,reliable   
B40D2297,001,2015/01/12 12:00:00, 969.9,reliable   
B40D2297,001,2015/01/12 15:00:00,   970,reliable   
B40D2297,001,2015/01/12 18:00:00, 969.5,reliable   
B40D2297,001,2015/01/12 21:00:00, 969.1,reliable   
B40D2297,001,2015/01/13 00:00:00, 968.8,reliable   
B40D2297,001,2015/01/13 03:00:00,   969,reliable   
B40D2297,001,2015/01/13 06:00:00, 969.6,reliable   
B40D2297,001,2015/01/13 09:00:00,   970,reliable   
B40D2297,001,2015/01/13 12:00:00, 969.6,reliable   
B40D2297,001,2015/01/13 15:00:00, 978.1,reliable   
B40D2297,001,2015/01/13 18:00:00, 981.3,reliable   
B40D2297,001,2015/01/13 21:00:00, 982.5,reliable   
B40D2297,001,2015/01/14 00:00:00, 983.1,reliable   
B40D2297,001,2015/01/14 03:00:00, 983.4,reliable   
B40D2297,001,2015/01/14 06:00:00, 983.8,reliable   
B40D2297,001,2015/01/14 09:00:00, 983.6,reliable   
B40D2297,001,2015/01/14 12:00:00, 983.7,reliable   
B40D2297,001,2015/01/14 15:00:00, 982.7,reliable   
B40D2297,001,2015/01/14 18:00:00,   982,reliable   
B40D2297,001,2015/01/14 21:00:00, 981.3,reliable   
B40D2297,001,2015/01/15 00:00:00, 981.6,reliable   
B40D2297,001,2015/01/15 03:00:00, 982.5,reliable   
B40D2297,001,2015/01/15 06:00:00, 982.9,reliable   
B40D2297,001,2015/01/15 09:00:00, 982.9,reliable   
B40D2297,001,2015/01/15 12:00:00, 982.1,reliable   
B40D2297,001,2015/01/15 15:00:00, 981.9,reliable   
B40D2297,001,2015/01/15 18:00:00, 980.8,reliable   
B40D2297,001,2015/01/15 21:00:00,   980,reliable   
B40D2297,001,2015/01/16 00:00:00,   979,reliable   
B40D2297,001,2015/01/16 03:00:00, 978.3,reliable   
B40D2297,001,2015/01/16 06:00:00, 977.6,reliable   
B40D2297,001,2015/01/16 09:00:00, 976.5,reliable   
B40D2297,001,2015/01/16 12:00:00,   976,reliable   
B40D2297,001,2015/01/16 15:00:00, 975.9,reliable   
B40D2297,001,2015/01/16 18:00:00, 975.4,reliable   
B40D2297,001,2015/01/16 21:00:00, 974.9,reliable   
B40D2297,001,2015/01/17 00:00:00, 974.1,reliable   
B40D2297,001,2015/01/17 03:00:00, 973.5,reliable   
