Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:38:20
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D2305,001,B40D2305001,196442,434682,1092,,1141,,892,743,2011/08/31,2015/06/20
B40D2305,001,B40D2305001,196442,434682,1092,,1141,220,892,743,2015/06/20,2015/11/09
B40D2305,001,B40D2305001,196442,434682,1092,,1141,300,892,743,2015/11/09,2019/10/21
B40D2305,001,B40D2305001,196442,434682,1092,,1141,304,892,743,2019/10/21,2021/09/09
B40D2305,001,B40D2305001,196442,434682,1092,,1141,304,892,743,2021/09/09,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40D2305,001,2015/06/22 15:00:00,1019.9,reliable   
B40D2305,001,2015/06/22 18:00:00,1019.7,reliable   
B40D2305,001,2015/06/22 21:00:00,1019.9,reliable   
B40D2305,001,2015/06/23 00:00:00,1020.6,reliable   
B40D2305,001,2015/06/23 03:00:00,1020.9,reliable   
B40D2305,001,2015/06/23 06:00:00,1021.1,reliable   
B40D2305,001,2015/06/23 09:00:00,1021.3,reliable   
B40D2305,001,2015/06/23 12:00:00,1021.3,reliable   
B40D2305,001,2015/06/23 15:00:00,1021.3,reliable   
B40D2305,001,2015/06/23 18:00:00,1021.6,reliable   
B40D2305,001,2015/06/23 21:00:00,1021.8,reliable   
B40D2305,001,2015/06/24 00:00:00,1021.7,reliable   
B40D2305,001,2015/06/24 03:00:00,1021.5,reliable   
B40D2305,001,2015/06/24 06:00:00,1021.6,reliable   
B40D2305,001,2015/06/24 09:00:00,1021.7,reliable   
B40D2305,001,2015/06/24 12:00:00,1021.6,reliable   
B40D2305,001,2015/06/24 15:00:00,1021.7,reliable   
B40D2305,001,2015/06/24 18:00:00,1021.6,reliable   
B40D2305,001,2015/06/24 21:00:00,1021.2,reliable   
B40D2305,001,2015/06/25 00:00:00,1020.9,reliable   
B40D2305,001,2015/06/25 03:00:00,  1021,reliable   
B40D2305,001,2015/06/25 06:00:00,1020.8,reliable   
B40D2305,001,2015/06/25 09:00:00,1020.7,reliable   
B40D2305,001,2015/06/25 12:00:00,1020.4,reliable   
B40D2305,001,2015/06/25 15:00:00,1020.1,reliable   
B40D2305,001,2015/06/25 18:00:00,1019.9,reliable   
B40D2305,001,2015/06/25 21:00:00,1019.7,reliable   
B40D2305,001,2015/06/26 00:00:00,1019.4,reliable   
B40D2305,001,2015/06/26 03:00:00,1019.5,reliable   
B40D2305,001,2015/06/26 06:00:00,1019.7,reliable   
B40D2305,001,2015/06/26 09:00:00,1019.6,reliable   
B40D2305,001,2015/06/26 12:00:00,1019.5,reliable   
B40D2305,001,2015/06/26 15:00:00,1019.3,reliable   
B40D2305,001,2015/06/26 18:00:00,1019.2,reliable   
B40D2305,001,2015/06/26 21:00:00,1019.6,reliable   
B40D2305,001,2015/06/27 00:00:00,  1020,reliable   
B40D2305,001,2015/06/27 03:00:00,  1021,reliable   
B40D2305,001,2015/06/27 06:00:00,1021.9,reliable   
B40D2305,001,2015/06/27 09:00:00,1022.8,reliable   
B40D2305,001,2015/06/27 12:00:00,1024.5,reliable   
B40D2305,001,2015/06/27 15:00:00,1026.3,reliable   
B40D2305,001,2015/06/27 18:00:00,1027.9,reliable   
B40D2305,001,2015/06/27 21:00:00,1029.2,reliable   
B40D2305,001,2015/06/28 00:00:00,1029.7,reliable   
B40D2305,001,2015/06/28 03:00:00,1030.3,reliable   
B40D2305,001,2015/06/28 06:00:00,1030.7,reliable   
B40D2305,001,2015/06/28 09:00:00,1030.7,reliable   
B40D2305,001,2015/06/28 12:00:00,1030.5,reliable   
B40D2305,001,2015/06/28 15:00:00,1030.3,reliable   
B40D2305,001,2015/06/28 18:00:00,1030.6,reliable   
B40D2305,001,2015/06/28 21:00:00,  1030,reliable   
B40D2305,001,2015/06/29 00:00:00,1029.8,reliable   
B40D2305,001,2015/06/29 03:00:00,1029.5,reliable   
B40D2305,001,2015/06/29 06:00:00,1029.4,reliable   
B40D2305,001,2015/06/29 09:00:00,1029.2,reliable   
B40D2305,001,2015/06/29 12:00:00,1028.8,reliable   
B40D2305,001,2015/06/29 15:00:00,1028.7,reliable   
B40D2305,001,2015/06/29 18:00:00,1027.8,reliable   
B40D2305,001,2015/06/29 21:00:00,1027.4,reliable   
B40D2305,001,2015/06/30 00:00:00,1027.3,reliable   
B40D2305,001,2015/06/30 03:00:00,1026.8,reliable   
B40D2305,001,2015/06/30 06:00:00,1026.7,reliable   
B40D2305,001,2015/06/30 09:00:00,1026.5,reliable   
B40D2305,001,2015/06/30 12:00:00,1025.9,reliable   
B40D2305,001,2015/06/30 15:00:00,1025.8,reliable   
B40D2305,001,2015/06/30 18:00:00,1026.1,reliable   
B40D2305,001,2015/06/30 21:00:00,1027.6,reliable   
B40D2305,001,2015/07/01 00:00:00,1029.3,reliable   
B40D2305,001,2015/07/01 03:00:00,1031.5,reliable   
B40D2305,001,2015/07/01 06:00:00,1033.9,reliable   
B40D2305,001,2015/07/01 09:00:00,1036.2,reliable   
B40D2305,001,2015/07/01 12:00:00,1038.8,reliable   
B40D2305,001,2015/07/01 15:00:00,1041.1,reliable   
B40D2305,001,2015/07/01 18:00:00,  1044,reliable   
B40D2305,001,2015/07/01 21:00:00,1046.8,reliable   
B40D2305,001,2015/07/02 00:00:00,1049.5,reliable   
B40D2305,001,2015/07/02 03:00:00,1051.5,reliable   
B40D2305,001,2015/07/02 06:00:00,1053.1,reliable   
B40D2305,001,2015/07/02 09:00:00,1054.7,reliable   
B40D2305,001,2015/07/02 12:00:00,1056.4,reliable   
B40D2305,001,2015/07/02 15:00:00,1059.5,reliable   
B40D2305,001,2015/07/02 18:00:00,1061.7,reliable   
B40D2305,001,2015/07/02 21:00:00,1064.3,reliable   
B40D2305,001,2015/07/03 00:00:00,1066.4,reliable   
B40D2305,001,2015/07/03 03:00:00,1068.3,reliable   
B40D2305,001,2015/07/03 06:00:00,1070.4,reliable   
B40D2305,001,2015/07/03 09:00:00,1071.5,reliable   
B40D2305,001,2015/07/03 12:00:00,1072.6,reliable   
B40D2305,001,2015/07/03 15:00:00,1073.8,reliable   
B40D2305,001,2015/07/03 18:00:00,1075.2,reliable   
B40D2305,001,2015/07/03 21:00:00,1077.1,reliable   
B40D2305,001,2015/07/04 00:00:00,  1078,reliable   
B40D2305,001,2015/07/04 03:00:00,  1079,reliable   
B40D2305,001,2015/07/04 06:00:00,1080.1,reliable   
B40D2305,001,2015/07/04 09:00:00,1080.4,reliable   
B40D2305,001,2015/07/04 12:00:00,1080.7,reliable   
B40D2305,001,2015/07/04 15:00:00,  1081,reliable   
B40D2305,001,2015/07/04 18:00:00,  1081,reliable   
B40D2305,001,2015/07/04 21:00:00,1081.8,reliable   
B40D2305,001,2015/07/05 00:00:00,1082.1,reliable   
B40D2305,001,2015/07/05 03:00:00,1082.4,reliable   
B40D2305,001,2015/07/05 06:00:00,1082.4,reliable   
B40D2305,001,2015/07/05 09:00:00,1082.7,reliable   
B40D2305,001,2015/07/05 12:00:00,1082.3,reliable   
B40D2305,001,2015/07/05 15:00:00,1082.2,reliable   
B40D2305,001,2015/07/05 18:00:00,1081.9,reliable   
B40D2305,001,2015/07/05 21:00:00,1081.4,reliable   
B40D2305,001,2015/07/06 00:00:00,1080.4,reliable   
B40D2305,001,2015/07/06 03:00:00,1079.1,reliable   
B40D2305,001,2015/07/06 06:00:00,1077.7,reliable   
B40D2305,001,2015/07/06 09:00:00,1076.6,reliable   
B40D2305,001,2015/07/06 12:00:00,  1075,reliable   
B40D2305,001,2015/07/06 15:00:00,  1073,reliable   
B40D2305,001,2015/07/06 18:00:00,1071.6,reliable   
B40D2305,001,2015/07/06 21:00:00,1069.9,reliable   
B40D2305,001,2015/07/07 00:00:00,1068.2,reliable   
B40D2305,001,2015/07/07 03:00:00,1066.9,reliable   
B40D2305,001,2015/07/07 06:00:00,1065.3,reliable   
B40D2305,001,2015/07/07 09:00:00,1063.6,reliable   
B40D2305,001,2015/07/07 12:00:00,1061.9,reliable   
B40D2305,001,2015/07/07 15:00:00,1061.1,reliable   
B40D2305,001,2015/07/07 18:00:00,1058.7,reliable   
B40D2305,001,2015/07/07 21:00:00,  1057,reliable   
B40D2305,001,2015/07/08 00:00:00,1055.7,reliable   
B40D2305,001,2015/07/08 03:00:00,  1055,reliable   
B40D2305,001,2015/07/08 06:00:00,1053.9,reliable   
B40D2305,001,2015/07/08 09:00:00,1052.7,reliable   
B40D2305,001,2015/07/08 12:00:00,1051.4,reliable   
B40D2305,001,2015/07/08 15:00:00,1050.6,reliable   
B40D2305,001,2015/07/08 18:00:00,1049.8,reliable   
