name,date_first_measurement,date_last_measurement,tmin_train
B39H0383-003,2003-05-07 15:00:00,2021-09-29 09:00:00,2003-05-07 00:00:00
B39H3454-002,2012-02-28 10:35:00,2021-05-10 09:00:00,
B39F2966-001,2012-07-16 15:00:00,2021-05-03 06:28:30,
B40B1733-001,2015-06-22 12:00:00,2021-09-09 09:00:00,
B40B0349-001,2002-06-01 00:00:00,2021-10-08 12:00:00,2002-06-01 00:00:00
B39H0388-001,2003-03-27 12:00:00,2021-09-28 09:00:00,2003-03-27 00:00:00
B40A0443-002,1979-06-14 12:00:00,2021-10-11 09:00:00,1990-01-01 00:00:00
B39F0578-003,1987-02-13 12:00:00,2021-09-28 09:00:00,2000-01-01 00:00:00
B40D2291-001,2013-05-13 10:48:00,2021-09-09 06:00:00,
B39G2553-002,2012-07-16 09:45:00,2021-05-03 06:00:00,
B40A0608-001,1975-06-13 12:00:00,2020-10-26 09:00:00,1990-01-01 00:00:00
B40B0303-003,1974-01-28 12:00:00,2021-10-08 13:00:00,1990-01-01 00:00:00
B40C0550-001,2003-04-09 12:00:00,2021-06-02 01:00:00,2003-04-09 00:00:00
B39F0745-004,2004-01-15 12:00:00,2007-06-14 11:16:55,
B40C0548-001,1991-07-15 12:00:00,2021-10-08 09:00:00,1991-07-15 00:00:00
B40B1729-002,2015-06-22 09:00:00,2021-09-09 09:00:00,
B40C0551-001,2003-05-08 15:00:00,2021-06-02 01:00:00,2003-05-08 00:00:00
B40A0400-005,1972-12-14 12:00:00,2021-09-22 09:00:00,
B39F0802-001,1977-05-27 12:00:00,2021-09-29 06:00:00,1990-01-01 00:00:00
B40C3534-001,2013-05-13 08:54:00,2021-09-09 06:00:00,
B40B0338-003,1979-04-17 12:00:00,2021-10-11 06:00:00,1990-01-01 00:00:00
B40A0608-002,1975-06-13 12:00:00,2020-10-26 09:00:00,2000-01-01 00:00:00
B40A2141-002,2012-03-01 15:00:00,2021-09-21 08:00:00,
B39E2786-001,2012-07-16 12:00:00,2020-11-18 09:00:00,
B39F0749-001,2005-02-09 12:00:00,2021-06-03 09:00:00,2005-02-09 00:00:00
B39G2554-001,2012-07-16 12:00:00,2020-11-18 09:00:00,
B40A2160-002,2008-02-14 12:00:00,2021-06-02 01:00:00,2008-02-14 00:00:00
B40C3533-001,2013-05-13 08:40:00,2021-09-09 06:00:00,
B40D2298-002,2013-05-13 12:00:00,2021-09-09 06:00:00,
B40A0632-001,1952-10-13 12:00:00,2021-09-22 12:00:00,1990-01-01 00:00:00
B40B0441-005,1997-07-30 12:00:00,2021-04-22 09:00:00,1997-07-30 00:00:00
B40A0535-001,1987-01-28 12:00:00,2021-09-23 12:00:00,1990-01-01 00:00:00
B40C0439-001,1981-02-02 12:00:00,2021-10-08 06:00:00,1990-01-01 00:00:00
B39F0737-001,2003-01-16 10:41:00,2020-09-19 15:00:00,2003-01-16 00:00:00
B39F2969-001,2012-07-16 12:45:00,2021-06-02 01:00:00,
B39H0388-002,2003-03-27 12:00:00,2021-09-28 10:00:00,2003-03-27 00:00:00
B40A0422-001,1977-05-27 12:00:00,2021-09-23 12:00:00,1990-01-01 00:00:00
B39F0745-003,2003-04-09 12:00:00,2021-09-28 09:00:00,
B39H3461-002,2012-02-28 10:55:00,2021-06-02 01:00:00,
B39F2953-001,2012-03-01 12:00:00,2021-09-21 09:00:00,
B39H3488-001,2012-07-17 08:00:00,2021-06-02 01:00:00,
B39H0382-002,2003-03-25 15:00:00,2021-09-28 09:00:00,2003-03-25 00:00:00
B39F2955-001,2012-02-28 11:20:00,2021-09-21 09:00:00,
B40C3508-002,2012-02-29 10:50:00,2021-09-22 06:00:00,
B40B0378-005,1990-03-29 12:00:00,2021-10-11 06:00:00,1990-03-29 00:00:00
B40C0421-003,2004-06-15 00:00:00,2021-09-29 09:00:00,2004-06-15 00:00:00
B40B0376-003,1990-03-29 12:00:00,2021-10-11 06:00:00,1990-03-29 00:00:00
B40B0433-004,1994-11-15 12:00:00,2021-10-11 06:00:00,1994-11-15 00:00:00
B40A2161-001,1988-09-14 12:00:00,2021-09-23 12:00:00,2000-01-01 00:00:00
B40B1733-002,2015-06-22 12:00:00,2021-09-09 09:00:00,
B40B0349-003,2002-06-01 00:00:00,2021-10-08 12:00:00,2002-06-01 00:00:00
B40B1724-002,2013-05-15 12:00:00,2021-09-09 09:00:00,
B39F2953-002,2012-03-01 12:00:00,2021-08-14 21:00:00,
B40C0439-003,1981-02-02 12:00:00,2021-10-08 06:00:00,1990-01-01 00:00:00
B40B0413-001,1994-03-15 12:00:00,2021-10-11 06:00:00,1994-03-15 00:00:00
B39F0744-001,2003-04-01 09:00:00,2021-09-29 06:00:00,2003-04-01 00:00:00
B40B0419-002,1994-03-15 12:00:00,2021-10-11 06:00:00,1994-03-15 00:00:00
B40B0349-004,2002-06-01 00:00:00,2021-10-08 12:00:00,2002-06-01 00:00:00
B40A0685-002,2004-04-03 00:00:00,2021-05-28 00:00:00,2004-04-03 00:00:00
B40C0549-001,2003-04-10 15:00:00,2021-06-02 01:00:00,2003-04-10 00:00:00
B39F0754-001,2003-03-25 15:00:00,2021-09-28 09:00:00,2003-03-25 00:00:00
B40B0443-001,1998-11-13 12:00:00,2021-09-23 09:00:00,1998-11-13 00:00:00
B39H3484-001,2012-07-17 12:00:00,2021-05-03 09:00:00,
B39F2954-001,2012-03-01 12:00:00,2021-09-21 09:00:00,
B40C3508-001,2012-02-29 10:50:00,2021-09-22 06:00:00,
B39F0740-002,2003-05-07 15:00:00,2021-09-30 06:00:00,2003-05-07 00:00:00
B40B0611-001,1996-12-27 12:00:00,2021-10-08 13:00:00,1996-12-27 00:00:00
B39H3458-001,2012-02-28 09:20:00,2021-09-21 06:00:00,
B39F0750-001,2003-05-14 15:00:00,2021-01-28 09:00:00,2003-05-14 00:00:00
B40A0683-001,2003-10-17 12:00:00,2021-09-22 12:00:00,2003-10-17 00:00:00
B39E0275-001,1990-11-14 12:00:00,2021-09-29 12:00:00,1990-11-14 00:00:00
B39F0751-001,2003-04-01 12:00:00,2021-09-29 06:00:00,2003-04-01 00:00:00
B39F2954-002,2012-03-01 12:00:00,2021-09-21 09:00:00,
B40A0614-001,1990-06-14 12:00:00,2021-09-22 12:00:00,1990-06-14 00:00:00
B40B0422-001,1994-03-15 12:00:00,2021-03-24 15:00:00,1994-03-15 00:00:00
HEM-P00-31002-002,2007-02-08 10:32:00,2007-04-11 09:15:00,
B40A0214-001,1962-02-14 12:00:00,2021-09-22 09:00:00,
B40D2292-001,2013-05-13 11:03:00,2021-09-09 06:00:00,
B40B0341-002,1979-05-14 12:00:00,2021-10-08 09:00:00,1990-01-01 00:00:00
B39H3459-001,2012-02-28 09:40:00,2021-09-21 06:00:00,
B40A2141-001,2012-03-01 12:35:00,2021-09-21 09:00:00,
B39H0381-002,2003-05-09 15:00:00,2021-09-29 09:00:00,2003-05-09 00:00:00
B40B0343-002,1979-06-14 12:00:00,2021-10-11 09:00:00,2000-01-01 00:00:00
P39F0006-001,2004-10-08 18:00:00,2021-09-30 06:00:00,2004-10-08 00:00:00
B40A2139-001,2012-03-01 12:00:00,2021-06-02 01:00:00,
B40A0687-002,2004-04-03 00:00:00,2021-09-23 12:00:00,2004-04-03 00:00:00
B39F0327-001,1981-02-02 12:00:00,2021-06-08 09:00:00,1990-01-01 00:00:00
B40C0551-003,2003-05-08 15:00:00,2021-06-02 01:00:00,2003-05-08 00:00:00
B40B0378-003,1990-03-29 12:00:00,2021-10-11 06:00:00,1990-03-29 00:00:00
B40C0060-001,1972-04-28 12:00:00,2021-10-08 10:00:00,1990-01-01 00:00:00
B39H3461-001,2012-02-28 12:00:00,2021-06-02 01:00:00,
B39F0744-002,2003-04-01 12:00:00,2021-09-29 06:00:00,2003-04-01 00:00:00
B40A0621-001,2003-05-08 12:00:00,2021-09-23 12:00:00,2003-05-08 00:00:00
