name,regis_layer,geolayer
B39H0383-003,PZWAz2,aq2
B39H3454-002,HLc,phreatic
B39F2966-001,HLc,phreatic
B40B1733-001,HLc,phreatic
B40B0349-001,KRz2,aq1
B39H0388-001,HLc,phreatic
B40A0443-002,PZWAz2,aq2
B39F0578-003,PZWAz2,aq2
B40D2291-001,HLc,phreatic
B39G2553-002,HLc,phreatic
B40A0608-001,KRz2,aq1
B40B0303-003,PZWAz3,aq2
B40C0550-001,HLc,phreatic
B39F0745-004,PZWAz3,aq2
B40C0548-001,KRz2,aq1
B40B1729-002,KRz2,aq1
B40C0551-001,KRz2,aq1
B40A0400-005,PZWAz4,aq2
B39F0802-001,HLc,phreatic
B40C3534-001,HLc,phreatic
B40B0338-003,PZWAz3,aq2
B40A0608-002,KRz3,aq1
B40A2141-002,KRz2,aq1
B39E2786-001,HLc,phreatic
B39F0749-001,HLc,phreatic
B39G2554-001,HLc,phreatic
B40A2160-002,DTc,aq1
B40C3533-001,HLc,phreatic
B40D2298-002,KRz2,aq1
B40A0632-001,KRz2,aq1
B40B0441-005,OOz2,aq2
B40A0535-001,KRz4,aq1
B40C0439-001,HLc,phreatic
B39F0737-001,KRz2,aq1
B39F2969-001,HLc,phreatic
B39H0388-002,KRz3,aq1
B40A0422-001,KRz3,aq1
B39F0745-003,PZWAz3,aq2
B39H3461-002,KRz2,aq1
B39F2953-001,HLc,phreatic
B39H3488-001,HLc,phreatic
B39H0382-002,KRz3,aq1
B39F2955-001,HLc,phreatic
B40C3508-002,KRz2,aq1
B40B0378-005,OOz2,aq2
B40C0421-003,MSz3,aq2
B40B0376-003,PZWAz3,aq2
B40B0433-004,PZWAz3,aq2
B40A2161-001,KRz3,aq1
B40B1733-002,KRz2,aq1
B40B0349-003,PZWAz4,aq2
B40B1724-002,KRz2,aq1
B39F2953-002,HLc,phreatic
B40C0439-003,PZWAz2,aq2
B40B0413-001,KRz4,aq1
B39F0744-001,HLc,phreatic
B40B0419-002,KRz4,aq1
B40B0349-004,OOz2,aq2
B40A0685-002,KRz3,aq1
B40C0549-001,KRz2,aq1
B39F0754-001,HLc,phreatic
B40B0443-001,KRz2,aq1
B39H3484-001,HLc,phreatic
B39F2954-001,HLc,phreatic
B40C3508-001,HLc,phreatic
B39F0740-002,KRz2,aq1
B40B0611-001,HLc,phreatic
B39H3458-001,HLc,phreatic
B39F0750-001,HLc,phreatic
B40A0683-001,KRz2,aq1
B39E0275-001,KRz2,aq1
B39F0751-001,HLc,phreatic
B39F2954-002,HLc,phreatic
B40A0614-001,KRz2,aq1
B40B0422-001,KRz3,aq1
HEM-P00-31002-002,PZWAz2,aq2
B40A0214-001,DTc,aq1
B40D2292-001,HLc,phreatic
B40B0341-002,PZWAz2,aq2
B39H3459-001,HLc,phreatic
B40A2141-001,HLc,phreatic
B39H0381-002,KRz3,aq1
B40B0343-002,PZWAz2,aq2
P39F0006-001,HLc,phreatic
B40A2139-001,HLc,phreatic
B40A0687-002,KRz2,aq1
