Datum,Fikkersdries,Sijmons,Hemmen,Zetten,Wageningseberg,Oosterbeek
1/1/1958,-,-,-,-,-,39837.42
2/1/1958,-,-,-,-,-,39837.42
3/1/1958,-,-,-,-,-,39837.42
4/1/1958,-,-,-,-,-,39837.42
5/1/1958,-,-,-,-,-,39837.42
6/1/1958,-,-,-,-,-,39837.42
7/1/1958,-,-,-,-,-,39837.42
8/1/1958,-,-,-,-,-,39837.42
9/1/1958,-,-,-,-,-,39837.42
10/1/1958,-,-,-,-,-,39837.42
11/1/1958,-,-,-,-,-,39837.42
12/1/1958,-,-,-,-,-,39837.42
1/1/1959,-,-,-,-,-,43537.17
2/1/1959,-,-,-,-,-,43537.17
3/1/1959,-,-,-,-,-,43537.17
4/1/1959,-,-,-,-,-,43537.17
5/1/1959,-,-,-,-,-,43537.17
6/1/1959,-,-,-,-,-,43537.17
7/1/1959,-,-,-,-,-,43537.17
8/1/1959,-,-,-,-,-,43537.17
9/1/1959,-,-,-,-,-,43537.17
10/1/1959,-,-,-,-,-,43537.17
11/1/1959,-,-,-,-,-,43537.17
12/1/1959,-,-,-,-,-,43537.17
1/1/1960,-,-,-,-,-,39965.50
2/1/1960,-,-,-,-,-,39965.50
3/1/1960,-,-,-,-,-,39965.50
4/1/1960,-,-,-,-,-,39965.50
5/1/1960,-,-,-,-,-,39965.50
6/1/1960,-,-,-,-,-,39965.50
7/1/1960,-,-,-,-,-,39965.50
8/1/1960,-,-,-,-,-,39965.50
9/1/1960,-,-,-,-,-,39965.50
10/1/1960,-,-,-,-,-,39965.50
11/1/1960,-,-,-,-,-,39965.50
12/1/1960,-,-,-,-,-,39965.50
1/1/1961,-,-,-,-,129455.75,41270.67
2/1/1961,-,-,-,-,129455.75,41270.67
3/1/1961,-,-,-,-,129455.75,41270.67
4/1/1961,-,-,-,-,129455.75,41270.67
5/1/1961,-,-,-,-,129455.75,41270.67
6/1/1961,12000.00,-,-,-,129455.75,41270.67
7/1/1961,22000.00,-,-,-,129455.75,41270.67
8/1/1961,8000.00,-,-,-,129455.75,41270.67
9/1/1961,8000.00,-,-,-,129455.75,41270.67
10/1/1961,11000.00,-,-,-,129455.75,41270.67
11/1/1961,13000.00,-,-,-,129455.75,41270.67
12/1/1961,19000.00,-,-,-,129455.75,41270.67
1/1/1962,30000.00,-,-,-,151851.67,41031.50
2/1/1962,17000.00,-,-,-,151851.67,41031.50
3/1/1962,17000.00,-,-,-,151851.67,41031.50
4/1/1962,17000.00,-,-,-,151851.67,41031.50
5/1/1962,16000.00,-,-,-,151851.67,41031.50
6/1/1962,21000.00,-,-,-,151851.67,41031.50
7/1/1962,16000.00,-,-,-,151851.67,41031.50
8/1/1962,22000.00,-,-,-,151851.67,41031.50
9/1/1962,16000.00,-,-,-,151851.67,41031.50
10/1/1962,23000.00,-,-,-,151851.67,41031.50
11/1/1962,29000.00,-,-,-,151851.67,41031.50
12/1/1962,31000.00,-,-,-,151851.67,41031.50
1/1/1963,44000.00,-,-,-,182099.58,47919.08
2/1/1963,47000.00,-,-,-,182099.58,47919.08
3/1/1963,53000.00,-,-,-,182099.58,47919.08
4/1/1963,48000.00,-,-,-,182099.58,47919.08
5/1/1963,59000.00,-,-,-,182099.58,47919.08
6/1/1963,37000.00,-,-,-,182099.58,47919.08
7/1/1963,66000.00,-,-,-,182099.58,47919.08
8/1/1963,79000.00,-,-,-,182099.58,47919.08
9/1/1963,74000.00,-,-,-,182099.58,47919.08
10/1/1963,78000.00,-,-,-,182099.58,47919.08
11/1/1963,93000.00,-,-,-,182099.58,47919.08
12/1/1963,91000.00,-,-,-,182099.58,47919.08
1/1/1964,99000.00,-,-,-,171552.50,51049.83
2/1/1964,96000.00,-,-,-,171552.50,51049.83
3/1/1964,101000.00,-,-,-,171552.50,51049.83
4/1/1964,111000.00,-,-,-,171552.50,51049.83
5/1/1964,123000.00,-,-,-,171552.50,51049.83
6/1/1964,122000.00,-,-,-,171552.50,51049.83
7/1/1964,130000.00,-,-,-,171552.50,51049.83
8/1/1964,136000.00,-,-,-,171552.50,51049.83
9/1/1964,131000.00,-,-,-,171552.50,51049.83
10/1/1964,131000.00,-,-,-,171552.50,51049.83
11/1/1964,121000.00,-,-,-,171552.50,51049.83
12/1/1964,123000.00,-,-,-,171552.50,51049.83
1/1/1965,129000.00,-,-,-,163460.00,51114.75
2/1/1965,123000.00,-,-,-,163460.00,51114.75
3/1/1965,131000.00,-,-,-,163460.00,51114.75
4/1/1965,135000.00,-,-,-,163460.00,51114.75
5/1/1965,145000.00,-,-,-,163460.00,51114.75
6/1/1965,142000.00,-,-,-,163460.00,51114.75
7/1/1965,142000.00,-,-,-,163460.00,51114.75
